,page,country,rev_id,quality
0,Template:ZambiaProvincialMinisters,Zambia,235107991,RevisionNotFound: Could not find revision ({revision}:235107991)
126,List of politicians in Poland,Poland,516633096,RevisionNotFound: Could not find revision ({revision}:516633096)
222,Tingtingru,Vanuatu,550682925,RevisionNotFound: Could not find revision ({revision}:550682925)
330,Daud Arsala,Afghanistan,627547024,RevisionNotFound: Could not find revision ({revision}:627547024)
539,Bharat Saud,Nepal,671484594,RevisionNotFound: Could not find revision ({revision}:671484594)
643,Robert Sych,Poland,684023803,RevisionNotFound: Could not find revision ({revision}:684023803)
644,Marek Krzysztof Jeleniewski,Poland,684023859,RevisionNotFound: Could not find revision ({revision}:684023859)
830,Narayani Datt Chataut,Nepal,698572327,RevisionNotFound: Could not find revision ({revision}:698572327)
1084,Gomez das Mariñas,Spain,703773782,RevisionNotFound: Could not find revision ({revision}:703773782)
1406,Valerio De Los Benidos,Cuba,706204833,RevisionNotFound: Could not find revision ({revision}:706204833)
1535,Kamlesh Arya,Fiji,706810694,RevisionNotFound: Could not find revision ({revision}:706810694)
1980,Khaled Aghbariyya,Israel,709508670,RevisionNotFound: Could not find revision ({revision}:709508670)
2125,Vladimir Shamakhov,Russia,710311600,RevisionNotFound: Could not find revision ({revision}:710311600)
2324,Panu Laturi,Finland,711288191,RevisionNotFound: Could not find revision ({revision}:711288191)
2358,Michel Ximenes,France,711513274,RevisionNotFound: Could not find revision ({revision}:711513274)
2481,I Gede Sumantara Ady Pratama,Indonesia,712411818,RevisionNotFound: Could not find revision ({revision}:712411818)
2587,Łukasz Kowalski,Poland,712872338,RevisionNotFound: Could not find revision ({revision}:712872338)
2588,Blanka Olszewska,Poland,712872421,RevisionNotFound: Could not find revision ({revision}:712872421)
2589,Janusz Jerzy Drozdalski,Poland,712872473,RevisionNotFound: Could not find revision ({revision}:712872473)
2590,Piotr Michał Trzaska,Poland,712872531,RevisionNotFound: Could not find revision ({revision}:712872531)
2591,Anna Teresa Piórkowska,Poland,712873183,RevisionNotFound: Could not find revision ({revision}:712873183)
2592,Edward Ignacy Hartwich,Poland,712873308,RevisionNotFound: Could not find revision ({revision}:712873308)
2593,Lech Andrzej Zagłoba-Zygler,Poland,712873386,RevisionNotFound: Could not find revision ({revision}:712873386)
2599,Elżbieta Teresa Rusielewicz,Poland,712878000,RevisionNotFound: Could not find revision ({revision}:712878000)
2600,Adam Wojciech Fórmaniak,Poland,712878267,RevisionNotFound: Could not find revision ({revision}:712878267)
2601,Zbigniew Józef Sobociński,Poland,712878343,RevisionNotFound: Could not find revision ({revision}:712878343)
2602,Bernadeta Aldona Różańska-Majchrzak,Poland,712878396,RevisionNotFound: Could not find revision ({revision}:712878396)
2604,Jarosław Wenderlich,Poland,712881543,RevisionNotFound: Could not find revision ({revision}:712881543)
2605,Ewa Joanna Starosta,Poland,712881676,RevisionNotFound: Could not find revision ({revision}:712881676)
2606,Stanisław Grodzicki (politician),Poland,712881741,RevisionNotFound: Could not find revision ({revision}:712881741)
2607,Tadeusz Mirosław Kondrusiewicz,Poland,712881882,RevisionNotFound: Could not find revision ({revision}:712881882)
2610,Wojciech Hieronim Nowacki,Poland,712889562,RevisionNotFound: Could not find revision ({revision}:712889562)
2611,Jacek Rosół,Poland,712889594,RevisionNotFound: Could not find revision ({revision}:712889594)
2612,Tomasz Jan Rega,Poland,712889683,RevisionNotFound: Could not find revision ({revision}:712889683)
2613,Marek Henryk Gralik,Poland,712889781,RevisionNotFound: Could not find revision ({revision}:712889781)
2614,Michał Piotr Sztybel,Poland,712889809,RevisionNotFound: Could not find revision ({revision}:712889809)
2615,Jacek Andrzej Bukowski,Poland,712891291,RevisionNotFound: Could not find revision ({revision}:712891291)
2616,Kazimierz Drozd,Poland,712891354,RevisionNotFound: Could not find revision ({revision}:712891354)
2617,Lech Stanisław Lewandowski,Poland,712891378,RevisionNotFound: Could not find revision ({revision}:712891378)
2618,Felicja Gwincińska,Poland,712891476,RevisionNotFound: Could not find revision ({revision}:712891476)
2737,Shah Seyyed Ali Kazemi,Iran,713368646,RevisionNotFound: Could not find revision ({revision}:713368646)
2740,Diabete Aboubacar Siriki,Ivorian,713381693,RevisionNotFound: Could not find revision ({revision}:713381693)
3239,Armin Halitović,Bosnia-Herzegovina,715273866,RevisionNotFound: Could not find revision ({revision}:715273866)
3293,James H. Stuart,Canada,715457941,RevisionNotFound: Could not find revision ({revision}:715457941)
3335,Gissur Petersson,Iceland,715534283,RevisionNotFound: Could not find revision ({revision}:715534283)
3465,Amirsho Miraliyev,Tajikistan,715978328,RevisionNotFound: Could not find revision ({revision}:715978328)
3858,Nicole Gauthier,France,717536136,RevisionNotFound: Could not find revision ({revision}:717536136)
4015,Patrick van Ypersele de Strihou,Belgium,717917231,RevisionNotFound: Could not find revision ({revision}:717917231)
4027,Bakhtiar Mahmud Kasuri,Pakistan,717927381,RevisionNotFound: Could not find revision ({revision}:717927381)
4398,Friedrich Peus,Germany,719521006,RevisionNotFound: Could not find revision ({revision}:719521006)
4415,Talib Garingan Pawaki,Philippines,719581803,RevisionNotFound: Could not find revision ({revision}:719581803)
4514,Guglielmo Rapinett,Malta,719981739,RevisionNotFound: Could not find revision ({revision}:719981739)
4545,Christian Raster,Germany,720054719,RevisionNotFound: Could not find revision ({revision}:720054719)
4656,Kimball–Snow–Woolley family,United States,720356159,RevisionNotFound: Could not find revision ({revision}:720356159)
4760,Malak Zmarak Khan Mandokhail,Pakistan,720688837,RevisionNotFound: Could not find revision ({revision}:720688837)
4829,Francis Phips,United Kingdom,720856841,RevisionNotFound: Could not find revision ({revision}:720856841)
4843,Constantino Salinas,Spain,720924221,RevisionNotFound: Could not find revision ({revision}:720924221)
4859,Gu Jinchi,China,720953589,RevisionNotFound: Could not find revision ({revision}:720953589)
4879,Emil Ragazzini,Croatia,720993927,RevisionNotFound: Could not find revision ({revision}:720993927)
5016,Max Adolf Richter,Germany,721509220,RevisionNotFound: Could not find revision ({revision}:721509220)
5086,Lourdes Aranda,Mexico,721856824,RevisionNotFound: Could not find revision ({revision}:721856824)
5709,David J. Reimer,Canada,724052271,RevisionNotFound: Could not find revision ({revision}:724052271)
6336,Eistein Rajaonary,Madagascar,726600165,RevisionNotFound: Could not find revision ({revision}:726600165)
6967,Mahesh Kumar Malani,Pakistan,730950147,RevisionNotFound: Could not find revision ({revision}:730950147)
7508,Patrick Nwakamma Ottih,Cameroon,734957625,RevisionNotFound: Could not find revision ({revision}:734957625)
7616,Woman's National Democratic Club,United States,735966681,RevisionNotFound: Could not find revision ({revision}:735966681)
7693,Liam Mac an Ultaigh,Ireland,736660951,RevisionNotFound: Could not find revision ({revision}:736660951)
7785,Alois Buttinger,Austria,737123608,RevisionNotFound: Could not find revision ({revision}:737123608)
8167,Mgeni Jadi Kadika,Tanzania,738480520,RevisionNotFound: Could not find revision ({revision}:738480520)
8175,Marcel Hatch,Canada,738514517,RevisionNotFound: Could not find revision ({revision}:738514517)
8256,Rajabboy Norkallayev,Tajikistan,738984692,RevisionNotFound: Could not find revision ({revision}:738984692)
8292,Valérie Dupont,France,739115995,RevisionNotFound: Could not find revision ({revision}:739115995)
8916,Françoise Foning,Cameroon,743770874,RevisionNotFound: Could not find revision ({revision}:743770874)
9147,Peter O'Brien (politician),Ireland,744643166,RevisionNotFound: Could not find revision ({revision}:744643166)
9360,Mahmoud Karem,Egypt,745915558,RevisionNotFound: Could not find revision ({revision}:745915558)
9688,Bia Venâncio,Brazil,747688056,RevisionNotFound: Could not find revision ({revision}:747688056)
9723,Pat Bridson,Ireland,747922835,RevisionNotFound: Could not find revision ({revision}:747922835)
9883,Leonardo Dudan,Croatia,748601806,RevisionNotFound: Could not find revision ({revision}:748601806)
10046,Wanmelbu,Vanuatu,749326717,RevisionNotFound: Could not find revision ({revision}:749326717)
10096,Éric Faurot,France,749389032,RevisionNotFound: Could not find revision ({revision}:749389032)
10170,Bruno Subtil,France,749546552,RevisionNotFound: Could not find revision ({revision}:749546552)
10252,Thierry Gourlot,France,749699147,RevisionNotFound: Could not find revision ({revision}:749699147)
10257,Jean-Marc de Lacoste-Lareymondie,France,749705073,RevisionNotFound: Could not find revision ({revision}:749705073)
10524,List of personal coats of arms of Presidents of Haiti,Haiti,750849372,RevisionNotFound: Could not find revision ({revision}:750849372)
11034,Diyar Khan Yaqubi,Pakistan,754739349,RevisionNotFound: Could not find revision ({revision}:754739349)
11529,Arthur Gregorian,Armenia,756697478,RevisionNotFound: Could not find revision ({revision}:756697478)
12541,Marcelo Cerqueira,Brazil,757313957,RevisionNotFound: Could not find revision ({revision}:757313957)
13286,Ahmad Balal,Pakistan,757961591,RevisionNotFound: Could not find revision ({revision}:757961591)
13398,Saifuddin Bohra,Pakistan,758706289,RevisionNotFound: Could not find revision ({revision}:758706289)
13739,Saleh Al Shal,United Arab Emirates,760194556,RevisionNotFound: Could not find revision ({revision}:760194556)
13740,Josef Siegele,Austria,760195376,RevisionNotFound: Could not find revision ({revision}:760195376)
14024,Nikolay Baranov (politician),Russia,761821348,RevisionNotFound: Could not find revision ({revision}:761821348)
14194,Kalthouma Nguembang,Chad,762816132,RevisionNotFound: Could not find revision ({revision}:762816132)
14291,Leonora Linter,Estonia,763245610,RevisionNotFound: Could not find revision ({revision}:763245610)
14359,Elisha Shapiro,United States,763558111,RevisionNotFound: Could not find revision ({revision}:763558111)
14494,Lennox Farrell,Canada,764019224,RevisionNotFound: Could not find revision ({revision}:764019224)
14527,Francois Willie Cloete,South Africa,764191934,RevisionNotFound: Could not find revision ({revision}:764191934)
14674,Obuobia Darko-Opoku,Ghana,764911200,RevisionNotFound: Could not find revision ({revision}:764911200)
14766,Emmanuel Odoi Lartey,Ghana,765228329,RevisionNotFound: Could not find revision ({revision}:765228329)
14849,Zeev Schwartz,Israel,765662083,RevisionNotFound: Could not find revision ({revision}:765662083)
14854,Jeferson Moreira,Brazil,765717347,RevisionNotFound: Could not find revision ({revision}:765717347)
14973,Giammarco Montanari,Italy,766101638,RevisionNotFound: Could not find revision ({revision}:766101638)
15423,Muhammad Abdul Haque,Bangladesh,768013050,RevisionNotFound: Could not find revision ({revision}:768013050)
15660,Rajat Majumdar,India,768871687,RevisionNotFound: Could not find revision ({revision}:768871687)
16357,Sheikh Zakaria Ansari,Iran,771213598,RevisionNotFound: Could not find revision ({revision}:771213598)
16455,Muhammad Yar Khan Mandokhail,Pakistan,771642775,RevisionNotFound: Could not find revision ({revision}:771642775)
16883,Isaura Gomes,Cape Verde,773323473,RevisionNotFound: Could not find revision ({revision}:773323473)
16890,Hari Bahadur Rai,Nepal,773355081,RevisionNotFound: Could not find revision ({revision}:773355081)
16942,Viviana Piñeiro,Uruguay,773601556,RevisionNotFound: Could not find revision ({revision}:773601556)
17135,Phil Hobson,United Kingdom,774293013,RevisionNotFound: Could not find revision ({revision}:774293013)
18000,John Palino,New Zealand,777163201,RevisionNotFound: Could not find revision ({revision}:777163201)
18411,Larry Holmes (activist),United States,778388481,RevisionNotFound: Could not find revision ({revision}:778388481)
18491,Debojeet Thaosen,India,778618827,RevisionNotFound: Could not find revision ({revision}:778618827)
18684,Jacek Maciej Wenderlich,Poland,779101752,RevisionNotFound: Could not find revision ({revision}:779101752)
18696,Mohamad Hamim Aliyas,Singapore,779135011,RevisionNotFound: Could not find revision ({revision}:779135011)
19206,Chaudhry Zafar Iqbal Warraich,Pakistan,779954797,RevisionNotFound: Could not find revision ({revision}:779954797)
19209,Rana Assad Amin,Pakistan,779957437,RevisionNotFound: Could not find revision ({revision}:779957437)
19874,Batul Soltani,Iran,782170063,RevisionNotFound: Could not find revision ({revision}:782170063)
20005,Marcia Dangremon,Brazil,782508289,RevisionNotFound: Could not find revision ({revision}:782508289)
20445,Rose Sales,Brazil,783382630,RevisionNotFound: Could not find revision ({revision}:783382630)
21971,Mariano Lazcano,Spain,786721553,RevisionNotFound: Could not find revision ({revision}:786721553)
22263,Mian Fareed Abbas Kathia,Pakistan,787181453,RevisionNotFound: Could not find revision ({revision}:787181453)
22435,Nihal Naj Ali Al-Awlaqi,Yemen,787353922,RevisionNotFound: Could not find revision ({revision}:787353922)
22541,Abdolmajid Pirzadeh Jahromi,Iran,787391918,RevisionNotFound: Could not find revision ({revision}:787391918)
22562,Abdul Latif Khalid Cheema,Pakistan,787398581,RevisionNotFound: Could not find revision ({revision}:787398581)
23150,Thoraya Obaid,Saudi Arabia,788037971,RevisionNotFound: Could not find revision ({revision}:788037971)
23427,Rahul Sinha,India,788289620,RevisionNotFound: Could not find revision ({revision}:788289620)
23464,Mahesh Kumar,Pakistan,788310383,RevisionNotFound: Could not find revision ({revision}:788310383)
23897,Vithal Chavan,India,788722110,RevisionNotFound: Could not find revision ({revision}:788722110)
24858,Jaybahadur Hitan Magar,Nepal,788844423,RevisionNotFound: Could not find revision ({revision}:788844423)
26073,Fernando Linera,Spain,789080627,RevisionNotFound: Could not find revision ({revision}:789080627)
26289,Patrick Binder,France,789266166,RevisionNotFound: Could not find revision ({revision}:789266166)
26468,Harald Haas (Pirate Party),Austria,789271422,RevisionNotFound: Could not find revision ({revision}:789271422)
26579,Zhang Yuhuan,China,789281061,RevisionNotFound: Could not find revision ({revision}:789281061)
26616,Saqib Idrees Taj,Pakistan,789285351,RevisionNotFound: Could not find revision ({revision}:789285351)
26622,Hameeda Waheeduddin,Pakistan,789285762,RevisionNotFound: Could not find revision ({revision}:789285762)
26629,Zheng Shekui,China,789286413,RevisionNotFound: Could not find revision ({revision}:789286413)
27707,Prasanna Earnest,India,789444415,RevisionNotFound: Could not find revision ({revision}:789444415)
28089,Chowdhary Balbir Singh,India,789736824,RevisionNotFound: Could not find revision ({revision}:789736824)
28238,Arthur C. Watson,United States,789816636,RevisionNotFound: Could not find revision ({revision}:789816636)
28644,Farouk Sharif,Philippines,790028876,RevisionNotFound: Could not find revision ({revision}:790028876)
28801,Idoia Zenarrutzabeitia Beldarrain,Spain,790147995,RevisionNotFound: Could not find revision ({revision}:790147995)
30095,Claybourn – Claiborne – Clayborn family,United States,791866288,RevisionNotFound: Could not find revision ({revision}:791866288)
30296,N. Padmalochanan,India,792184018,RevisionNotFound: Could not find revision ({revision}:792184018)
30432,Marko Selakovic,Serbia,792400552,RevisionNotFound: Could not find revision ({revision}:792400552)
30458,Praveen Agrawal,India,792440851,RevisionNotFound: Could not find revision ({revision}:792440851)
30660,Caleb Crosby,United States,792857662,RevisionNotFound: Could not find revision ({revision}:792857662)
30706,Draft:John Johansson i Gränö,Sweden,792933603,RevisionNotFound: Could not find revision ({revision}:792933603)
30952,Tibor Gaal de Hatvan,Hungary,793280504,RevisionNotFound: Could not find revision ({revision}:793280504)
31734,Gregorei Alexandrovich,Russia,794409906,RevisionNotFound: Could not find revision ({revision}:794409906)
32088,List of Ghana heads of state by age,Ghana,794866848,RevisionNotFound: Could not find revision ({revision}:794866848)
32233,Alfred Moungara Moussotsi,Gabon,794990759,RevisionNotFound: Could not find revision ({revision}:794990759)
32688,Fraz Wahlah,Pakistan,795588781,RevisionNotFound: Could not find revision ({revision}:795588781)
33623,Hovik Jivanyan,Armenia,796744496,RevisionNotFound: Could not find revision ({revision}:796744496)
33643,Stanford Morse,United States,796758810,RevisionNotFound: Could not find revision ({revision}:796758810)
34161,Dan Hilton,Canada,797311794,RevisionNotFound: Could not find revision ({revision}:797311794)
34736,Volodymyr Manzhosov,Ukraine,797902544,RevisionNotFound: Could not find revision ({revision}:797902544)
35449,Jesse Spikes,United States,798615865,RevisionNotFound: Could not find revision ({revision}:798615865)
35712,Maria Hadjipavlou,Cyprus,798891126,RevisionNotFound: Could not find revision ({revision}:798891126)
35801,Darcie Lanthier,Canada,798952867,RevisionNotFound: Could not find revision ({revision}:798952867)
36136,V. Sadasivan,India,799263010,RevisionNotFound: Could not find revision ({revision}:799263010)
36465,Mohd Eekmal Ahmad,Malaysia,799540668,RevisionNotFound: Could not find revision ({revision}:799540668)
36825,Raja Muhammad Akbar Khan,Pakistan,799880073,RevisionNotFound: Could not find revision ({revision}:799880073)
36895,Rich Eychaner,United States,799933274,RevisionNotFound: Could not find revision ({revision}:799933274)
37029,Michael McInerney,Ireland,800072571,RevisionNotFound: Could not find revision ({revision}:800072571)
37105,Craig Huey,United States,800144885,RevisionNotFound: Could not find revision ({revision}:800144885)
37431,Donald Jeffrey Large,United States,800299837,RevisionNotFound: Could not find revision ({revision}:800299837)
37617,Dragan Klaric,Sweden,800471126,RevisionNotFound: Could not find revision ({revision}:800471126)
37698,Bashir Ahmed Sarki,Pakistan,800574730,RevisionNotFound: Could not find revision ({revision}:800574730)
37833,Siddique Nazmul Alam,Bangladesh,800707821,RevisionNotFound: Could not find revision ({revision}:800707821)
38352,Georges Sada,Iraq,801177435,RevisionNotFound: Could not find revision ({revision}:801177435)
38578,Anwara Ali,United Kingdom,801306872,RevisionNotFound: Could not find revision ({revision}:801306872)
38939,Secular and Nationalist Jinnah,Pakistan,801536406,RevisionNotFound: Could not find revision ({revision}:801536406)
38991,Ambedkarism,India,801563949,RevisionNotFound: Could not find revision ({revision}:801563949)
39097,Rashid bin Humaid Al Nuaimi (Ajman),United Arab Emirates,801638735,RevisionNotFound: Could not find revision ({revision}:801638735)
39141,Abhijit Pandya,United Kingdom,801696196,RevisionNotFound: Could not find revision ({revision}:801696196)
39596,Ali Asghar Khan (politician),Pakistan,802148439,RevisionNotFound: Could not find revision ({revision}:802148439)
39711,List of politicians on Veep,United States,802302246,RevisionNotFound: Could not find revision ({revision}:802302246)
40033,Ananda Syahendar Perdana,Indonesia,802475516,RevisionNotFound: Could not find revision ({revision}:802475516)
40067,Ezatullah Mujahid,Afghanistan,802515929,RevisionNotFound: Could not find revision ({revision}:802515929)
40379,Maciej Filip Zegarski,Poland,802765034,RevisionNotFound: Could not find revision ({revision}:802765034)
40994,Anatoliy Peshko,Ukraine,803413615,RevisionNotFound: Could not find revision ({revision}:803413615)
41078,Kevin Hardwick,United States,803484030,RevisionNotFound: Could not find revision ({revision}:803484030)
41386,David Sparrow,Canada,803784385,RevisionNotFound: Could not find revision ({revision}:803784385)
41721,Iftikhar Ahmed (Swiss lawmaker),Switzerland,804057093,RevisionNotFound: Could not find revision ({revision}:804057093)
41815,João Victor Guedes,Brazil,804118645,RevisionNotFound: Could not find revision ({revision}:804118645)
41879,Kampa Borgoyary,India,804158476,RevisionNotFound: Could not find revision ({revision}:804158476)
42256,Lucia Lucchesi-Ghiselli,Italy,804473605,RevisionNotFound: Could not find revision ({revision}:804473605)
42510,Lib Peck,United Kingdom,804697858,RevisionNotFound: Could not find revision ({revision}:804697858)
42605,Dudley–Winthrop family,United States,804791599,RevisionNotFound: Could not find revision ({revision}:804791599)
42838,Larry A. Kaczala,United States,804941978,RevisionNotFound: Could not find revision ({revision}:804941978)
42851,William M. Rainach,United States,804945338,RevisionNotFound: Could not find revision ({revision}:804945338)
42864,David J. Dwork,United States,804946658,RevisionNotFound: Could not find revision ({revision}:804946658)
43046,Ron Crickenberger,United States,805031334,RevisionNotFound: Could not find revision ({revision}:805031334)
43058,Lav Grigorije Pajkić,Serbia,805041930,RevisionNotFound: Could not find revision ({revision}:805041930)
43304,Richards–Young family,United States,805211553,RevisionNotFound: Could not find revision ({revision}:805211553)
43598,Ian Axton,United Kingdom,805420467,RevisionNotFound: Could not find revision ({revision}:805420467)
44015,Kamrul Hasan Nasim,Bangladesh,805697623,RevisionNotFound: Could not find revision ({revision}:805697623)
44147,Political positions of Pat Buchanan,United States,805788048,RevisionNotFound: Could not find revision ({revision}:805788048)
44392,Hossein Khan Movaghar,Iran,805936041,RevisionNotFound: Could not find revision ({revision}:805936041)
44471,Valeriy Panasenko,Moldova,805993160,RevisionNotFound: Could not find revision ({revision}:805993160)
44529,Edivaldo Holanda Júnior,Brazil,806030859,RevisionNotFound: Could not find revision ({revision}:806030859)
44754,Rajah Alon,Philippines,806179522,RevisionNotFound: Could not find revision ({revision}:806179522)
44840,Golam Mohammad Rabbani,Bangladesh,806223655,RevisionNotFound: Could not find revision ({revision}:806223655)
45148,Phillip Jackson,United States,806403304,RevisionNotFound: Could not find revision ({revision}:806403304)
45628,Rajah Gambang,Philippines,806695084,RevisionNotFound: Could not find revision ({revision}:806695084)
45837,Olajide Awosedo,Nigeria,806811023,RevisionNotFound: Could not find revision ({revision}:806811023)
46416,Dirtbag Left,United States,807161510,RevisionNotFound: Could not find revision ({revision}:807161510)
46782,John Rose (Trotskyist),United Kingdom,807336308,RevisionNotFound: Could not find revision ({revision}:807336308)
46862,Jalal Movaghar,Iran,807367030,RevisionNotFound: Could not find revision ({revision}:807367030)
46863,Mohsen Movaghar,Iran,807367166,RevisionNotFound: Could not find revision ({revision}:807367166)
47182,King Gutierrez,Philippines,807479587,RevisionNotFound: Could not find revision ({revision}:807479587)
47196,Ajay Kannoujiya,India,807484325,RevisionNotFound: Could not find revision ({revision}:807484325)
