,rev_id,page,country
0,516633096,List of politicians in Poland,Poland
1,550682925,Tingtingru,Vanuatu
2,627547024,Daud Arsala,Afghanistan
3,671484594,Bharat Saud,Nepal
4,684023803,Robert Sych,Poland
5,684023859,Marek Krzysztof Jeleniewski,Poland
6,698572327,Narayani Datt Chataut,Nepal
7,699260156,Mohammad Amjad,Pakistan
8,703773782,Gomez das Mariñas,Spain
9,706204833,Valerio De Los Benidos,Cuba
10,706810694,Kamlesh Arya,Fiji
11,709508670,Khaled Aghbariyya,Israel
12,710311600,Vladimir Shamakhov,Russia
13,711288191,Panu Laturi,Finland
14,711513274,Michel Ximenes,France
15,712411818,I Gede Sumantara Ady Pratama,Indonesia
16,712872338,Łukasz Kowalski,Poland
17,712872421,Blanka Olszewska,Poland
18,712872473,Janusz Jerzy Drozdalski,Poland
19,712872531,Piotr Michał Trzaska,Poland
20,712873183,Anna Teresa Piórkowska,Poland
21,712873308,Edward Ignacy Hartwich,Poland
22,712873386,Lech Andrzej Zagłoba-Zygler,Poland
23,712878000,Elżbieta Teresa Rusielewicz,Poland
24,712878267,Adam Wojciech Fórmaniak,Poland
25,712878343,Zbigniew Józef Sobociński,Poland
26,712878396,Bernadeta Aldona Różańska-Majchrzak,Poland
27,712881543,Jarosław Wenderlich,Poland
28,712881676,Ewa Joanna Starosta,Poland
29,712881741,Stanisław Grodzicki (politician),Poland
30,712881882,Tadeusz Mirosław Kondrusiewicz,Poland
31,712889562,Wojciech Hieronim Nowacki,Poland
32,712889594,Jacek Rosół,Poland
33,712889683,Tomasz Jan Rega,Poland
34,712889781,Marek Henryk Gralik,Poland
35,712889809,Michał Piotr Sztybel,Poland
36,712891291,Jacek Andrzej Bukowski,Poland
37,712891354,Kazimierz Drozd,Poland
38,712891378,Lech Stanisław Lewandowski,Poland
39,712891476,Felicja Gwincińska,Poland
40,713368646,Shah Seyyed Ali Kazemi,Iran
41,713381693,Diabete Aboubacar Siriki,Ivorian
42,714352602,Fawzi al-Ghazzi,Syria
43,715273866,Armin Halitović,Bosnia-Herzegovina
44,715457941,James H. Stuart,Canada
45,715534283,Gissur Petersson,Iceland
46,715978328,Amirsho Miraliyev,Tajikistan
47,717536136,Nicole Gauthier,France
48,717917231,Patrick van Ypersele de Strihou,Belgium
49,717927381,Bakhtiar Mahmud Kasuri,Pakistan
50,719521006,Friedrich Peus,Germany
51,719581803,Talib Garingan Pawaki,Philippines
52,719981739,Guglielmo Rapinett,Malta
53,720054719,Christian Raster,Germany
54,720356159,Kimball–Snow–Woolley family,United States
55,720688837,Malak Zmarak Khan Mandokhail,Pakistan
56,720856841,Francis Phips,United Kingdom
57,720924221,Constantino Salinas,Spain
58,720953589,Gu Jinchi,China
59,720993927,Emil Ragazzini,Croatia
60,721509220,Max Adolf Richter,Germany
61,721856824,Lourdes Aranda,Mexico
62,724052271,David J. Reimer,Canada
63,726600165,Eistein Rajaonary,Madagascar
64,730950147,Mahesh Kumar Malani,Pakistan
65,734957625,Patrick Nwakamma Ottih,Cameroon
66,735966681,Woman's National Democratic Club,United States
67,736660951,Liam Mac an Ultaigh,Ireland
68,737123608,Alois Buttinger,Austria
69,738480520,Mgeni Jadi Kadika,Tanzania
70,738514517,Marcel Hatch,Canada
71,738984692,Rajabboy Norkallayev,Tajikistan
72,739115995,Valérie Dupont,France
73,743770874,Françoise Foning,Cameroon
74,744643166,Peter O'Brien (politician),Ireland
75,745915558,Mahmoud Karem,Egypt
76,747688056,Bia Venâncio,Brazil
77,747922835,Pat Bridson,Ireland
78,748601806,Leonardo Dudan,Croatia
79,749326717,Wanmelbu,Vanuatu
80,749389032,Éric Faurot,France
81,749546552,Bruno Subtil,France
82,749699147,Thierry Gourlot,France
83,749705073,Jean-Marc de Lacoste-Lareymondie,France
84,750849372,List of personal coats of arms of Presidents of Haiti,Haiti
85,754739349,Diyar Khan Yaqubi,Pakistan
86,756697478,Arthur Gregorian,Armenia
87,757313957,Marcelo Cerqueira,Brazil
88,757961591,Ahmad Balal,Pakistan
89,758706289,Saifuddin Bohra,Pakistan
90,760194556,Saleh Al Shal,United Arab Emirates
91,760195376,Josef Siegele,Austria
92,761821348,Nikolay Baranov (politician),Russia
93,762816132,Kalthouma Nguembang,Chad
94,763245610,Leonora Linter,Estonia
95,763558111,Elisha Shapiro,United States
96,764019224,Lennox Farrell,Canada
97,764191934,Francois Willie Cloete,South Africa
98,764911200,Obuobia Darko-Opoku,Ghana
99,765228329,Emmanuel Odoi Lartey,Ghana
100,765662083,Zeev Schwartz,Israel
101,765717347,Jeferson Moreira,Brazil
102,766101638,Giammarco Montanari,Italy
103,768013050,Muhammad Abdul Haque,Bangladesh
104,768871687,Rajat Majumdar,India
105,771213598,Sheikh Zakaria Ansari,Iran
106,771642775,Muhammad Yar Khan Mandokhail,Pakistan
107,773323473,Isaura Gomes,Cape Verde
108,773355081,Hari Bahadur Rai,Nepal
109,773601556,Viviana Piñeiro,Uruguay
110,774023957,Khaled Negm,Egypt
111,774293013,Phil Hobson,United Kingdom
112,777163201,John Palino,New Zealand
113,778388481,Larry Holmes (activist),United States
114,778618827,Debojeet Thaosen,India
115,779101752,Jacek Maciej Wenderlich,Poland
116,779135011,Mohamad Hamim Aliyas,Singapore
117,779954797,Chaudhry Zafar Iqbal Warraich,Pakistan
118,779957437,Rana Assad Amin,Pakistan
119,782170063,Batul Soltani,Iran
120,782508289,Marcia Dangremon,Brazil
121,783382630,Rose Sales,Brazil
122,786721553,Mariano Lazcano,Spain
123,787181453,Mian Fareed Abbas Kathia,Pakistan
124,787353922,Nihal Naj Ali Al-Awlaqi,Yemen
125,787391918,Abdolmajid Pirzadeh Jahromi,Iran
126,787398581,Abdul Latif Khalid Cheema,Pakistan
127,788037971,Thoraya Obaid,Saudi Arabia
128,788289620,Rahul Sinha,India
129,788310383,Mahesh Kumar,Pakistan
130,788722110,Vithal Chavan,India
131,788844423,Jaybahadur Hitan Magar,Nepal
132,789080627,Fernando Linera,Spain
133,789266166,Patrick Binder,France
134,789271422,Harald Haas (Pirate Party),Austria
135,789281061,Zhang Yuhuan,China
136,789285351,Saqib Idrees Taj,Pakistan
137,789285762,Hameeda Waheeduddin,Pakistan
138,789286413,Zheng Shekui,China
139,789444415,Prasanna Earnest,India
140,789736824,Chowdhary Balbir Singh,India
141,789816636,Arthur C. Watson,United States
142,790028876,Farouk Sharif,Philippines
143,790147995,Idoia Zenarrutzabeitia Beldarrain,Spain
144,791866288,Claybourn – Claiborne – Clayborn family,United States
145,792184018,N. Padmalochanan,India
146,792400552,Marko Selakovic,Serbia
147,792440851,Praveen Agrawal,India
148,792857662,Caleb Crosby,United States
149,792933603,Draft:John Johansson i Gränö,Sweden
150,793280504,Tibor Gaal de Hatvan,Hungary
151,794311724,Chukwuemeka Ihedioha,Nigeria
152,794409906,Gregorei Alexandrovich,Russia
153,794866848,List of Ghana heads of state by age,Ghana
154,794990759,Alfred Moungara Moussotsi,Gabon
155,795588781,Fraz Wahlah,Pakistan
156,796744496,Hovik Jivanyan,Armenia
157,796758810,Stanford Morse,United States
158,797311794,Dan Hilton,Canada
159,797902544,Volodymyr Manzhosov,Ukraine
160,798615865,Jesse Spikes,United States
161,798891126,Maria Hadjipavlou,Cyprus
162,798952867,Darcie Lanthier,Canada
163,799263010,V. Sadasivan,India
164,799540668,Mohd Eekmal Ahmad,Malaysia
165,799880073,Raja Muhammad Akbar Khan,Pakistan
166,799933274,Rich Eychaner,United States
167,800072571,Michael McInerney,Ireland
168,800144885,Craig Huey,United States
169,800299837,Donald Jeffrey Large,United States
170,800471126,Dragan Klaric,Sweden
171,800574730,Bashir Ahmed Sarki,Pakistan
172,800707821,Siddique Nazmul Alam,Bangladesh
173,801177435,Georges Sada,Iraq
174,801306872,Anwara Ali,United Kingdom
175,801536406,Secular and Nationalist Jinnah,Pakistan
176,801563949,Ambedkarism,India
177,801638735,Rashid bin Humaid Al Nuaimi (Ajman),United Arab Emirates
178,801696196,Abhijit Pandya,United Kingdom
179,801835819,Ouyang Xiu,China
180,802148439,Ali Asghar Khan (politician),Pakistan
181,802302246,List of politicians on Veep,United States
182,802445176,Daniel O'Neill (Royalist),Ireland
183,802475516,Ananda Syahendar Perdana,Indonesia
184,802515929,Ezatullah Mujahid,Afghanistan
185,802765034,Maciej Filip Zegarski,Poland
186,802904214,Bernard Binlin Dadié,Ivorian
187,802937732,Than Htay,Myanmar
188,803413615,Anatoliy Peshko,Ukraine
189,803484030,Kevin Hardwick,United States
190,803784385,David Sparrow,Canada
191,804057093,Iftikhar Ahmed (Swiss lawmaker),Switzerland
192,804118645,João Victor Guedes,Brazil
193,804158476,Kampa Borgoyary,India
194,804473605,Lucia Lucchesi-Ghiselli,Italy
195,804697858,Lib Peck,United Kingdom
196,804791599,Dudley–Winthrop family,United States
197,804941978,Larry A. Kaczala,United States
198,804945338,William M. Rainach,United States
199,804946658,David J. Dwork,United States
200,805031334,Ron Crickenberger,United States
201,805041930,Lav Grigorije Pajkić,Serbia
202,805211553,Richards–Young family,United States
203,805420467,Ian Axton,United Kingdom
204,805697623,Kamrul Hasan Nasim,Bangladesh
205,805788048,Political positions of Pat Buchanan,United States
206,805936041,Hossein Khan Movaghar,Iran
207,805993160,Valeriy Panasenko,Moldova
208,806030859,Edivaldo Holanda Júnior,Brazil
209,806179522,Rajah Alon,Philippines
210,806223655,Golam Mohammad Rabbani,Bangladesh
211,806372496,Mohammed Naguib,Egypt
212,806403304,Phillip Jackson,United States
213,806695084,Rajah Gambang,Philippines
214,806811023,Olajide Awosedo,Nigeria
215,807000274,William McMahon,Australia
216,807161510,Dirtbag Left,United States
217,807196681,Guy Georgias,Zimbabwe
218,807336308,John Rose (Trotskyist),United Kingdom
219,807367030,Jalal Movaghar,Iran
220,807367166,Mohsen Movaghar,Iran
221,807479587,King Gutierrez,Philippines
